form	wsafter
szembeni	" "
szigorúbb	" "
fellépésről	""
,	" "
valamint	" "
a	" "
gyermekek	" "
védelme	" "
érdekében	" "
egyes	" "
törvények	" "
módosításáról	""
)	""
,	" "
de	" "
az	" "
nem	" "
véletlenül	" "
pedofilellenes	" "
tervezetként	" "
híresült	" "
el	""
.	" "

Az	" "
előterjesztő	" "
Kocsis	" "
Máté	" "
ugyanis	" "
rögtön	" "
a	" "
parlamenti	" "
vita	" "
nyitóbeszédében	" "
pedofilellenes	""
,	" "
nem	" "
pedig	" "
gyermekvédelmi	" "
törvénycsomagként	" "
mutatta	" "
be	" "
a	" "
javaslatot	""
.	"\n\n"

Kezdetben	""
,	" "
mikor	" "
még	" "
a	" "
melegellenes	" "
részek	" "
sehol	" "
sem	" "
voltak	""
,	" "
éppen	" "
azért	" "
érte	" "
kritika	" "
a	" "
törvényjavaslatot	" "
mind	" "
civil	""
,	" "
mind	" "
ellenzéki	" "
oldalról	""
,	" "
mert	" "
kimaradt	" "
belőle	" "
az	" "
áldozattá	" "
vált	" "
gyerekek	" "
segítése	""
.	" "

Ekkor	" "
még	" "
a	" "
hiányolt	" "
gyermekvédelmi	" "
részekkel	" "
kapcsolatban	" "
az	" "
volt	" "
a	" "
fideszes	" "
álláspont	""
,	" "
hogy	" "
meg	" "
kellene	" "
ezzel	" "
várni	" "
a	" "
gyermekvédelmi	" "
szakemberekből	" "
álló	""
,	" "
régóta	" "
dolgozó	" "
munkacsoport	" "
munkájának	" "
eredményét	""
.	" "

„	""
Nem	" "
tudom	""
,	" "
hogy	" "
ehhez	" "
a	" "
törvényhez	" "
hova	" "
fér	" "
bele	""
”	" "
–	" "
mondta	" "
Kocsis	" "
a	" "
gyermekvédelmi	" "
témájú	" "
esetleges	" "
ellenzéki	" "
módosítók	" "
benyújtásáról	""
.	"\n\n\n"

De	" "
időközben	" "
miért	" "
ne	" "
gondolhatták	" "
volna	" "
meg	" "
magukat	""
,	" "
és	" "
vihették	" "
volna	" "
el	" "
gyerekvédelmi	" "
irányba	""
?	"\n\n"

Hiába	" "
hangsúlyozzák	" "
utólag	" "
az	" "
ártatlannak	" "
ható	" "
gyermekvédelmi	" "
irányt	""
,	" "
a	" "
bírált	" "
paragrafusok	" "
a	" "
törvényben	" "
önmagában	" "
is	" "
megbélyegzőek	" "
a	" "
szexuális	" "
kisebbségekre	" "
nézve	""
,	" "
hiszen	" "
a	" "
jogszabály	" "
a	" "
gyerekek	" "
fejlődésére	" "
veszélyesnek	" "
állítja	" "
be	" "
azt	""
,	" "
ha	" "
18	" "
éves	" "
kor	" "
előtt	" "
információkat	" "
szereznek	" "
a	" "
szexuális	" "
kisebbségekről	""
.	" "

Ráadásul	" "
az	" "
a	" "
törvény	""
,	" "
amit	" "
végül	" "
megszavaztak	""
,	" "
Európa	" "
legnagyobb	" "
nemzetközi	" "
gyermekjogi	" "
szervezete	""
,	" "
a	" "
Eurochild	" "
szerint	" "
nem	" "
védi	" "
a	" "
gyerekeket	""
,	" "
hanem	" "
épp	" "
hogy	" "
nagyobb	" "
veszélynek	" "
teszi	" "
ki	" "
őket	""
.	" "

A	" "
gyerekeknek	" "
joguk	" "
van	" "
az	" "
egészséges	" "
fejlődéshez	""
,	" "
a	" "
szabad	" "
véleménynyilvánításhoz	""
,	" "
az	" "
önazonossághoz	""
,	" "
a	" "
befogadó	" "
oktatáshoz	""
,	" "
az	" "
újonnan	" "
elfogadott	" "
jogszabály	" "
viszont	" "
megsérti	" "
mindezeket	" "
a	" "
jogokat	" "
–	" "
erre	" "
jutott	" "
a	" "
Eurochild	""
.	" "

A	" "
szervezet	" "
állásfoglalása	" "
szerint	" "
ha	" "
ezt	" "
a	" "
törvényt	" "
végrehajtják	""
,	" "
a	" "
gyerekek	" "
nem	" "
jutnak	" "
hozzá	" "
olyan	""
,	" "
a	" "
szexuális	" "
és	" "
reproduktív	" "
egészséggel	" "
kapcsolatos	" "
információkhoz	""
,	" "
amelyek	" "
kulcsszerepet	" "
játszanak	" "
a	" "
szexuális	" "
visszaélések	" "
megelőzésében	" "
és	" "
az	" "
ezekkel	" "
kapcsolatos	" "
tudatosság	" "
növelésében	""
.	" "

Az	" "
LMBTQI	" "
gyerekek	" "
pedig	" "
különösen	" "
megszenvedhetik	" "
az	" "
új	" "
tiltásokat	""
:	" "
fokozódhat	" "
a	" "
megkülönböztetésük	""
.	"\n\n"

Tényleg	" "
csak	" "
a	" "
szülő	" "
dönthet	" "
arról	""
,	" "
hogy	" "
a	" "
gyerek	" "
mit	" "
halljon	" "
és	" "
mit	" "
ne	" "
a	" "
szexuális	" "
felvilágosítás	" "
során	""
?	"\n\n"

„	""
Az	" "
új	" "
magyar	" "
törvény	" "
csak	" "
világosan	" "
rögzíti	""
,	" "
hogy	" "
a	" "
gyermekek	" "
szexuális	" "
neveléséről	" "
kizárólag	" "
a	" "
szülő	" "
dönthet	""
.	" "

Az	" "
iskolai	" "
nevelés	" "
nem	" "
állhat	" "
ellentétben	" "
a	" "
szülő	" "
akaratával	""
,	" "
az	" "
legfeljebb	" "
csak	" "
kiegészítő	" "
lehet	""
,	" "
formáját	" "
és	" "
tartalmát	" "
pontosan	" "
meg	" "
kell	" "
határozni	""
,	" "
és	" "
a	" "
szülők	" "
egyetértéséhez	" "
kell	" "
kötni	""
”	" "
–	" "
jelentette	" "
ki	" "
Orbán	" "
Viktor	" "
a	" "
Szamizdat	" "
10.	" "
című	" "
írásában	""
.	"\n\n"

De	" "
ha	" "
ezt	" "
komolyan	" "
vesszük	""
,	" "
akkor	" "
a	" "
szexualitás	" "
témájában	" "
van	" "
még	" "
egy	" "
csomó	" "
dolog	""
,	" "
ami	" "
a	" "
felvilágosító	" "
órákon	" "
szóba	" "
kerül	""
,	" "
és	" "
nem	" "
biztos	""
,	" "
hogy	" "
minden	" "
szülő	" "
nevelési	" "
elképzeléseihez	" "
passzol	""
.	" "

Mi	" "
van	" "
akkor	""
,	" "
ha	" "
–	" "
mondjuk	" "
–	" "
a	" "
család	" "
vallási	" "
okokból	" "
elutasítja	" "
a	" "
házasságon	" "
kívüli	" "
szexet	""
?	" "

Akkor	" "
az	" "
iskolában	" "
ne	" "
is	" "
halljon	" "
a	" "
gyerek	" "
biztonságos	" "
szexről	" "
és	" "
védekezésről	""
,	" "
mert	" "
ez	" "
a	" "
teljes	" "
önmegtartóztatás	" "
ellen	" "
dolgozik	""
?	" "

Arról	" "
nem	" "
beszélve	""
,	" "
hogy	" "
a	" "
szexualitás	" "
mellett	" "
azért	" "
elég	" "
sok	" "
más	" "
olyan	" "
területet	" "
van	""
,	" "
ahol	" "
az	" "
iskolai	" "
nevelés	" "
adott	" "
esetben	" "
igencsak	" "
könnyen	" "
ellentétben	" "
állhat	" "
a	" "
szülő	" "
akaratával	""
.	" "

Vannak	" "
szülők	""
,	" "
akik	" "
nem	" "
örülnek	" "
annak	""
,	" "
hogy	" "
az	" "
evolúcióról	" "
tanul	" "
a	" "
gyerekük	""
.	" "

Egyes	" "
történelmi	" "
témáknál	" "
is	" "
szembekerülhetnek	" "
az	" "
otthoni	" "
és	" "
az	" "
iskolai	" "
nézetek	""
.	" "

Az	" "
osztályfőnöki	" "
órákon	" "
jó	" "
esetben	" "
erkölcsi	""
,	" "
etikai	" "
kérdésekről	" "
is	" "
beszélnek	""
:	" "
ezeken	" "
is	" "
hallhat	" "
a	" "
gyerek	" "
a	" "
tanártól	" "
mást	""
,	" "
mint	" "
amit	" "
a	" "
szülei	" "
gondolnak	""
.	" "

Vessünk	" "
véget	" "
ennek	" "
is	""
?	"\n\n"

Nem	" "
teljesen	" "
mindegy	""
,	" "
van	""
-e	" "
iskolai	" "
szexuális	" "
nevelés	""
,	" "
és	" "
hogy	" "
miről	" "
van	" "
ott	" "
szó	""
?	" "

Mi	" "
szükség	" "
van	" "
még	" "
ilyesmire	" "
2021-ben	""
?	"\n\n"

Tudományos	" "
kutatási	" "
eredmények	" "
egyértelműen	" "
igazolják	" "
a	" "
megfelelő	" "
szexuális	" "
edukáció	" "
hosszú	" "
távú	" "
hatását	""
:	" "
jó	" "
színvonalú	" "
szexuális	" "
nevelésben	" "
részt	" "
vevő	" "
fiatalok	" "
védettebbek	" "
a	" "
túl	" "
korai	" "
szexuális	" "
élettel	" "
járó	" "
kockázati	" "
tényezőkkel	" "
szemben	""
.	" "

Egy	" "
a	" "
témába	" "
vágó	" "
magyar	" "
tanulmányszerint	" "
ugyanakkor	" "
a	" "
szülők	" "
többségének	" "
fejében	" "
ennek	" "
ellenére	" "
tartják	" "
magukat	" "
a	" "
múlt	" "
századi	" "
nézetek	""
,	" "
vagyis	" "
nemzetközi	" "
szinten	" "
is	" "
sokan	" "
gondolják	""
,	" "
hogy	" "
veszélyes	" "
a	" "
serdülőkor	" "
előtti	" "
szexuális	" "
felvilágosítás	""
.	" "

Az	" "
ebben	" "
a	" "
hazai	" "
kutatásban	" "
elért	" "
válaszadók	" "
progresszívebb	" "
nézeteket	" "
vallottak	" "
e	" "
téren	""
,	" "
de	" "
mivel	" "
online	" "
zajlott	""
,	" "
okkal	" "
feltételezhetjük	""
,	" "
hogy	" "
eleve	" "
az	" "
átlagnál	" "
szabadelvűbb	" "
emberek	" "
töltötték	" "
ki	" "
a	" "
kérdőívet	""
.	" "

Ha	" "
viszont	" "
itthon	" "
is	" "
igaz	""
,	" "
hogy	" "
a	" "
szülők	" "
többsége	" "
kerüli	" "
otthon	" "
a	" "
témát	""
,	" "
akkor	" "
egy	" "
jól	" "
kitalált	" "
iskolai	" "
szexuális	" "
edukációnak	" "
fontos	" "
szerep	" "
juthatna	" "
–	" "
többek	" "
között	" "
éppen	" "
abban	" "
is	""
,	" "
hogy	" "
azok	" "
a	" "
gyerekek	" "
is	" "
elfogadják	" "
magukat	""
,	" "
akik	" "
talán	" "
éppen	" "
ekkortájt	" "
ébrednek	" "
rá	""
,	" "
hogy	" "
a	" "
saját	" "
nemükhöz	" "
vonzódnak	""
.	" "

Egy	" "
másik	" "
magyar	" "
kutatás	" "
azt	" "
is	" "
igazolta	""
,	" "
hogy	" "
még	" "
a	" "
szexualitás	" "
örömteli	" "
oldalára	" "
nem	" "
igazán	" "
fókuszáló	" "
magyar	" "
szexuális	" "
nevelésnek	" "
is	" "
hangsúlyos	" "
szerepe	" "
van	" "
az	" "
információhoz	" "
jutásban	""
,	" "
egyértelmű	" "
összefüggés	" "
volt	" "
például	" "
a	" "
fogamzásgátlási	" "
ismeretek	" "
és	" "
az	" "
iskolai	" "
felvilágosításon	" "
való	" "
részvétel	" "
között	""
.	"\n\n"

A	" "
törvény	" "
tiltja	" "
a	" "
homoszexualitás	" "
és	" "
a	" "
nemváltás	" "
népszerűsítését	" "
és	" "
megjelenítését	""
.	" "

Mi	" "
tartozhat	" "
bele	" "
ebbe	" "
és	" "
mi	" "
nem	""
?	"\n\n"

A	" "
törvényszövegben	" "
nincs	" "
semmiféle	" "
támpont	""
,	" "
definíció	" "
ezzel	" "
kapcsolatban	""
.	" "

Innentől	" "
kezdve	""
,	" "
amíg	" "
esetleg	" "
ki	" "
nem	" "
jön	" "
egy	""
,	" "
a	" "
részleteket	" "
szabályozó	" "
rendelet	""
,	" "
az	" "
egyéni	" "
értelmezéseké	" "
a	" "
terep	""
.	" "

A	" "
konkrétumok	" "
hiányának	" "
lehet	" "
olyan	" "
következménye	""
,	" "
hogy	" "
félelemből	""
,	" "
„	""
csak	" "
baj	" "
ne	" "
legyen	" "
belőle	""
”	" "
hozzáállással	" "
olyan	" "
önkorlátozás	" "
kezdődik	""
,	" "
amit	" "
törvénnyel	""
,	" "
direkt	" "
szabályozással	""
,	" "
szankciókkal	" "
nem	" "
akartak	" "
volna	" "
kikényszeríteni	""
.	" "

Van	""
,	" "
aki	" "
szerint	" "
az	" "
új	" "
tilalmakat	" "
komolyan	" "
véve	" "
az	" "
iskolában	" "
nem	" "
lehet	" "
tanítani	" "
Rimbaud-t	""
,	" "
Verlaine-t	""
,	" "
Thomas	" "
Mannt	" "
vagy	" "
éppen	" "
Faludyt	""
.	" "

Sőt	""
,	" "
a	" "
Háttér	" "
Társaság	" "
értelmezése	" "
szerint	" "
a	" "
törvény	" "
azt	" "
sem	" "
engedi	" "
meg	""
,	" "
hogy	" "
a	" "
szülők	" "
elfogadó	" "
attitűdöt	" "
tanúsítsanak	" "
a	" "
melegség	""
,	" "
transzneműség	" "
irányában	""
.	" "

A	" "
„	""
tág	" "
tiltások	" "
miatt	" "
ugyanis	" "
ha	" "
egy	" "
szülő	" "
egy	" "
LMBTQI	" "
szereplőt	" "
tartalmazó	" "
ifjúsági	" "
regényt	" "
vesz	" "
kiskorú	" "
gyermekének	" "
vagy	" "
kiskorú	" "
gyermekével	" "
közösen	" "
egy	" "
LMBTQI	" "
szereplőt	" "
ábrázoló	" "
filmet	" "
néz	" "
meg	" "
szombat	" "
este	" "
a	" "
tévében	""
,	" "
azzal	" "
jogszabályt	" "
sért	""
.	" "

Ezzel	" "
ugyanis	" "
a	" "
homoszexualitást	" "
és/vagy	" "
a	" "
születési	" "
nemnek	" "
megfelelő	" "
önazonosságtól	" "
való	" "
eltérést	" "
megjelenítő	" "
tartalmat	" "
tesz	" "
elérhetővé	" "
18	" "
éven	" "
aluli	" "
személy	" "
számára	""
”	" "
–	" "
áll	" "
a	" "
szervezet	" "
hétfői	" "
közleményében	""
.	"\n\n"

Őszintén	""
:	" "
mennyire	" "
lehet	" "
betartani	" "
ezt	" "
a	" "
törvényt	" "
a	" "
való	" "
életben	""
?	"\n\n"

Jó	" "
kérdés	""
,	" "
a	" "
törvény	" "
homoszexualitással	" "
kapcsolatos	" "
része	" "
ugyanis	" "
abszurd	" "
szituációkat	" "
eredményezhet	""
,	" "
különösen	" "
az	" "
iskolákban	""
.	" "

Mi	" "
van	" "
akkor	" "
például	""
,	" "
ha	" "
mégiscsak	" "
felmerül	" "
egy	" "
melegekkel	" "
kapcsolatos	" "
kérdés	" "
az	" "
iskolai	" "
szexuális	" "
felvilágosításon	""
?	" "

Kínos	" "
csend	" "
után	" "
egyszerűen	" "
elterelik	" "
a	" "
témát	""
?	" "

Vagy	" "
mit	" "
tegyen	" "
az	" "
az	" "
osztályfőnök	""
,	" "
iskolapszichológus	""
,	" "
akihez	" "
egy	" "
szexuális	" "
orientációjában	""
,	" "
nemi	" "
identitásában	" "
kételkedő	" "
gyerek	" "
fordul	""
?	" "

Küldje	" "
haza	" "
az	" "
apukájához	" "
beszélgetni	""
,	" "
miközben	" "
valószínűleg	" "
pont	" "
azért	" "
jött	" "
hozzá	""
,	" "
mert	" "
nem	" "
bízik	" "
az	" "
otthoniak	" "
megértő	" "
hozzáállásában	""
?	" "

Egy	" "
ilyen	" "
helyzet	" "
–	" "
az	" "
új	" "
törvénynek	" "
megfelelő	" "
–	" "
kezelése	" "
nem	" "
életszerű	" "
pedagógiai	" "
szempontból	""
,	" "
és	" "
az	" "
sem	" "
valószínű	""
,	" "
hogy	" "
bárki	" "
bejelentené	""
,	" "
szankcionálná	""
,	" "
ha	" "
valaki	" "
igenis	" "
beszélget	" "
ilyen	" "
témákról	" "
egy	" "
gyerekkel	""
.	"\n\n"

De	" "
lesz	""
-e	" "
egyáltalán	" "
szándék	" "
a	" "
betartatására	""
?	"\n\n"

Jelenleg	" "
az	" "
tűnik	" "
a	" "
legvalószínűbb	" "
forgatókönyvnek	""
,	" "
hogy	" "
nem	" "
lesz	""
.	" "

Egy	" "
ilyen	" "
elkenten	" "
megszövegezett	" "
gumiszabály	" "
nem	" "
csak	" "
arra	" "
lehet	" "
jó	""
,	" "
hogy	" "
szükség	" "
esetén	" "
politikai	" "
ellenfeleket	" "
kipécézve	" "
használják	""
,	" "
de	" "
arra	" "
is	""
,	" "
hogy	" "
egyáltalán	" "
ne	" "
kelljen	" "
alkalmazni	" "
a	" "
gyakorlatban	""
.	" "

Láttunk	" "
már	" "
ilyet	""
,	" "
a	" "
2018-ban	" "
hatályba	" "
lépett	" "
bevándorlási	" "
különadóból	" "
sosem	" "
remélt	" "
valódi	" "
bevételt	" "
a	" "
kormány	""
,	" "
és	" "
nem	" "
is	" "
szálltak	" "
rá	" "
a	" "
nemfizetés	" "
miatt	" "
azokra	" "
a	" "
szervezetekre	""
,	" "
amelyekre	" "
a	" "
megfogalmazás	" "
alapján	" "
célozták	" "
a	" "
passzust	""
.	"\n\n"

Akkor	" "
meg	" "
mi	" "
a	" "
fenéért	" "
hoztak	" "
ilyen	" "
törvényt	""
?	"\n\n"

A	" "
Fidesz	" "
kormányzási	" "
stílusától	" "
nem	" "
idegen	""
,	" "
hogy	" "
pusztán	" "
kommunikációs	""
,	" "
illetve	" "
politikai	" "
céllal	" "
tegyen	" "
konkrét	""
(	""
nak	" "
látszó	""
)	" "
lépéseket	""
.	" "

Ilyenkor	" "
egy	" "
új	" "
intézkedés	" "
célja	" "
a	" "
közvélekedés	" "
szerint	" "
inkább	" "
az	" "
lehet	""
,	" "
hogy	" "
1.	" "
eltereljék	" "
a	" "
figyelmet	" "
valami	" "
másról	" "
(	""
„	""
gumicsont-elmélet	""
”	""
)	""
,	" "
2.	" "
bedobjanak	" "
egy	" "
olyan	" "
saját	" "
témát	""
,	" "
ami	" "
nagyon	" "
megosztó	""
,	" "
de	" "
a	" "
fideszes	" "
álláspont	" "
egyezik	" "
a	" "
társadalom	" "
többségéével	""
.	" "

A	" "
figyelemelterelés-teória	" "
elég	" "
logikus	" "
most	""
,	" "
hiszen	" "
az	" "
eggyel	" "
korábbi	" "
fő	" "
témát	" "
jelentő	" "
Fudan-ügy	" "
elég	" "
kellemetlen	" "
volt	" "
a	" "
kormánynak	" "
politikailag	""
,	" "
de	" "
szóba	" "
jöhet	" "
itt	" "
a	" "
pedofiltörvénnyel	" "
egyszerre	" "
megszavazott	" "
35	" "
éves	" "
autópálya-koncesszió	" "
és	" "
a	" "
közvagyoncsökkentő	" "
törvények	" "
esete	" "
is	""
.	"\n\n"

A	" "
megosztásra	" "
játszás	" "
mellett	" "
szintén	" "
komoly	" "
érvek	" "
szólnak	""
.	" "

Már	" "
legalább	" "
egy	" "
éve	" "
utalnak	" "
jelek	" "
arra	""
,	" "
hogy	" "
a	" "
Fidesz	" "
a	" "
migrációs	" "
téma	" "
után	" "
lengyel-orosz	" "
mintára	" "
a	" "
szexuális	" "
kisebbségek	" "
ügyét	" "
emelné	" "
kampánytémává	""
.	" "

Az	" "
ilyen	" "
szimbolikus	""
,	" "
identitáspolitikai	" "
ügyek	" "
sok	" "
országban	" "
jelentenek	" "
éles	" "
politikai	" "
fegyvert	" "
a	" "
„	""
normális	" "
többség	""
”	" "
nevében	" "
fellépő	" "
jobboldal	" "
kezében	""
.	" "

Ráadásul	" "
a	" "
hazai	" "
ellenzéki	" "
összefogás	" "
ideológiai	" "
sokszínűsége	" "
miatt	" "
ez	" "
az	" "
ügy	" "
a	" "
politikai	" "
ellenfelek	" "
megosztására	" "
is	" "
alkalmas	" "
volt	""
:	" "
a	" "
Jobbik	" "
a	" "
többi	" "
párt	" "
tiltakozása	" "
ellenére	" "
megszavazta	" "
a	" "
pedofiltörvényt	" "
(	""
habár	" "
azzal	" "
a	" "
kikötéssel	""
,	" "
hogy	" "
kormányra	" "
kerülés	" "
esetén	" "
kiszednék	" "
a	" "
kérdéses	" "
részeket	""
)	""
.	" "

Arról	""
,	" "
hogy	" "
miért	" "
érheti	" "
meg	" "
a	" "
Fidesznek	" "
a	" "
melegellenessé	" "
eltéríteni	" "
a	" "
pedofiltörvényt	""
,	" "
itt	" "
írtunk	" "
bővebben	""
.	"\n\n"

Lehet	""
,	" "
hogy	" "
itthon	" "
működik	""
,	" "
de	" "
ebből	" "
most	" "
elég	" "
nagy	" "
nemzetközi	" "
botrány	" "
lett	""
.	" "

Nem	" "
lehet	""
,	" "
hogy	" "
Orbán	" "
Viktor	" "
ezúttal	" "
elszámította	" "
magát	""
?	"\n\n"

Ezt	" "
egyelőre	" "
nehéz	" "
megmondani	""
,	" "
de	" "
tény	""
,	" "
hogy	" "
talán	" "
a	" "
vártnál	" "
egy	" "
fokkal	" "
nagyobb	" "
negatív	" "
visszhangot	" "
váltott	" "
ki	" "
a	" "
törvény	" "
melegekkel	" "
szemben	" "
rosszindulatú	" "
része	" "
külföldön	""
.	" "

Több	" "
állam	" "
(	""
köztük	" "
sok	" "
uniós	" "
ország	" "
és	" "
az	" "
USA	""
)	" "
külön	" "
nyilatkozatban	" "
ítélte	" "
el	" "
a	" "
magyar	" "
kormányt	" "
miatta	""
.	" "

A	" "
téma	" "
sajátosan	" "
összekeveredett	" "
az	" "
épp	" "
zajló	" "
foci	""
-	""
eb	""
-	""
vel	""
,	" "
a	" "
nyugati	" "
stadionokban	" "
azóta	" "
mindennaposak	" "
a	" "
Pride-zászlókkal	" "
demonstráló	" "
szurkolók	" "
és	" "
a	" "
nagy	" "
cégek	" "
is	" "
szivárványosra	" "
vették	" "
a	" "
reklámjaikat	""
.	" "

Az	" "
ügy	" "
átterjedése	" "
a	" "
focira	" "
egyes	" "
értelmezések	" "
szerint	" "
közrejátszhatott	" "
abban	""
,	" "
hogy	" "
Orbán	" "
Viktor	" "
nem	" "
a	" "
helyszínen	" "
nézte	" "
a	" "
német-magyar	" "
csoportmeccset	" "
Münchenben	""
.	" "

Ebben	" "
a	" "
logikában	" "
a	" "
magyar	" "
miniszterelnök	" "
attól	" "
tarthatott	""
,	" "
hogy	" "
kifütyülik	" "
a	" "
helyszínen	" "
vagy	" "
más	" "
kellemetlenség	" "
éri	""
.	" "

A	" "
kormány	" "
ugyanakkor	" "
a	" "
maga	" "
részéről	" "
cáfolta	" "
ezt	" "
a	" "
feltételezést	""
.	"\n\n"

A	" "
futballszálnál	" "
nagyobb	" "
baj	" "
Orbánéknak	""
,	" "
hogy	" "
beszámolók	" "
szerint	" "
az	" "
utóbbi	" "
EU-csúcson	" "
soha	" "
nem	" "
látott	" "
feszültséget	" "
eredményezett	" "
a	" "
helyzet	""
:	" "
a	" "
meleg	" "
luxemburgi	" "
miniszterelnök	" "
és	" "
Hollandia	" "
miniszterelnöke	" "
is	" "
keményen	" "
nekiment	" "
Orbánnak	""
,	" "
utóbbi	" "
állítólag	" "
azt	" "
a	" "
kérdést	" "
is	" "
feltette	""
,	" "
hogy	" "
ha	" "
magyar	" "
kollégája	" "
nem	" "
osztja	" "
a	" "
közösség	" "
elveit	""
,	" "
miért	" "
akar	" "
egyáltalán	" "
az	" "
EU-ban	" "
maradni	""
.	" "

Elképzelhető	""
,	" "
hogy	" "
a	" "
kormány	" "
nem	" "
számított	" "
ilyen	" "
éles	" "
konfliktusra	""
,	" "
és	" "
már	" "
látszik	" "
is	" "
némi	" "
tompítás	""
,	" "
visszakozás	" "
a	" "
kifelé	" "
irányuló	" "
kommunikációban	""
:	" "
Orbán	" "
Viktor	" "
a	" "
német	" "
dpa	" "
hírügynökségnek	" "
többek	" "
között	" "
arról	" "
beszélt	""
,	" "
hogy	" "
a	" "
magyar	" "
állam	" "
„	""
nemcsak	" "
garantálja	""
,	" "
hanem	" "
aktívan	" "
védelmezi	" "
is	" "
a	" "
homoszexuálisok	" "
jogait	""
”	""
,	" "
és	" "
hogy	" "
„	""
a	" "
szivárványszín	" "
Budapesten	" "
is	" "
magától	" "
értetődő	" "
módon	" "
hozzátartozik	" "
az	" "
utcaképhez	""
”	""
.	"\n\n"

Akkor	" "
most	" "
várható	""
,	" "
hogy	" "
az	" "
EU	" "
valóban	" "
odapörköl	" "
a	" "
magyar	" "
kormánynak	""
?	"\n\n"

Az	" "
egyelőre	" "
kérdés	""
,	" "
hogy	" "
ezzel	" "
a	" "
kettős	" "
beszéddel	" "
sikerül	""
-e	" "
elcsendesíteni	" "
a	" "
nyugati	" "
kritikákat	""
,	" "
és	" "
ha	" "
nem	""
,	" "
akkor	" "
annak	" "
lehet	""
-e	" "
valódi	" "
„	""
megtorlás	""
”	" "
a	" "
következménye	""
.	" "

Korábban	" "
sok	" "
olyan	" "
magyar	" "
ügyet	" "
láttunk	""
,	" "
ami	" "
a	" "
nagy	" "
nemzetközi	" "
sajtóvisszhang	" "
és	" "
üzengetés	" "
ellenére	" "
hamar	" "
lekerült	" "
a	" "
napirendről	""
,	" "
nemzetközi	" "
politikai	" "
következményei	" "
nem	" "
lettek	" "
(	""
rövid	" "
távon	" "
legalábbis	""
)	""
.	"\n\n"

A	" "
mostani	" "
helyzet	" "
annyiban	" "
lehet	" "
más	""
,	" "
hogy	" "
szokatlanul	" "
nagy	" "
az	" "
egység	" "
